"author","question"
Data Scientist at Capital One was asked...," Given a dataset, how would you model it to extract a particular information. How would you architect the pipeline."
Data Scientist at Facebook was asked..., Python coding: load data one row by one row using Hash table.
Data Scientist at Facebook was asked..., What is the difference between Z test and T test?
Data Scientist at Facebook was asked..., How would you improve the product?
Data Scientist at MAANA was asked..., how to solve imbalance data issues in Machine learning?
Senior Data Scientist at Rover.com was asked..., Tell me about a time when you took a risk without having enough information.
Data Scientist at Microsoft was asked..., What would you do to summarize a twitter feed?
Senior Data Scientist at Rover.com was asked..., How would you write this objective function?
Senior Data Scientist at Rover.com was asked..., What kind of time series model would you use for this?
Data Scientist at Walt Disney Company was asked..., Why should we hire you?
Data Scientist at Microsoft was asked..., Describe one data science project that you've worked on.
Data Scientist Analytics at Facebook was asked...," Calculate various statistics from two tables: one for advertisers, and one for ads"
Data Scientist at RealSelf was asked...," In three minutes, tell me a thing that can potentially impress me."
Data Scientist at Coupang was asked..., Code reservoir sampling 
Senior Data Scientist at Microsoft was asked...," Describe an ROC chart, Describe a decision tree,"
Data Scientist at Microsoft was asked..., Solve some coding problems
Senior Data Scientist at Zillow was asked..., Why Zillow?
Data Scientist at Amazon was asked...," They asked probability question: 1) The probability that item an item at location A is 0.6 , and 0.8 at location B. What is the probability that item would be found on Amazon website. 2). I have table 1, with 1million records, with ID, AGE (column names) , Table 2 with 100 records with ID and Salary then the interviewer gave me the following SQL script SELECT A.ID,A.AGE,B.SALARY FROM TABLE 1 A LEFT JOIN TABLE 2 B ON A.ID = B.ID + WHERE B.SALARY > 50000 ( HE ASKED TO MODIFY THIS LINE OF QUERY) How many records would be returned? 3. Give a csv file with ID, and Quantity columns, 50million records and size of data is 2gig, write a program in any language of your choice to aggregate the QUANTITY column."
Data Scientist at Microsoft was asked..., Design and optimize an elevator question
Data Scientist at PayScale was asked...," General business problem questions, some coding questions, and a modeling method question."
Data Scientist at Amazon was asked..., What is the most advanced query you've ever written?
Data Scientist at Amazon was asked..., 1. Cumulative sum of top 10 most profitable products of the last 6 month for customers in Seattle. 2. Assumptions about logistic and linear regression 3. Explain colinearity 4. Step by Step of a machine learning algorithms 
Data Scientist at BitTitan was asked..., Given the data set identify the most isolated location’s Location Id for each geographical location.
Data Scientist at Zillow was asked..., Run me through the operation of a random forest estimator (in detail).
Data Scientist at Redfin was asked..., What are the most important things to you in a new workplace and why?
Data Scientist at T-Mobile was asked..., Tell me a time when you had a problem with the data
Data Scientist at T-Mobile was asked..., How did they celebrate Halloween at your company
Data Scientist at OfferUp was asked..., Have you used Offerup?
Senior Data Scientist at Heal (CA) was asked..., How do you add value to your current role?
Junior Data Scientist Role at Allstate was asked..., explain random forest
Data Scientist at Comcast was asked..., Let's go step by step through your resume
Junior Data Scientist at Allstate was asked...," Generic questions about behavior and how you work. Project management philosophies, etc. Why Allstate?"
Data Scientist at Microsoft was asked..., Do you know l1 norm or l0 norm
Junior Data Scientist at Allstate was asked...," If you have a bag of jelly beans with a large number of two different colors, whats the minimum you need to pick out to guarantee that you have at least 2 of the same color? Then the question in the general case."
Data Scientist at Salesforce was asked..., What is the computational complexity of finding the most frequent word in a document?
Data Scientist at Microsoft was asked..., Discuss how to randomly select a sample from a product user population.
Junior Data Scientist at Allstate was asked...," The case study presents real data and they ask questions about how you would approach the modeling process. Understand imbalanced class classification, model evaluation, cross validation, and logistic regression, and perhaps more sophisticated techniques."
Junior Data Scientist at Allstate was asked...," Coding challenges that focus on understanding very basic recursive functions, floating point numbers rounding (e.g. exact 1/2 vs. inexact 1/3), coding a very simple KNN algorithm, and writing a SQL query which involved aggregating and joining tables."
Data Scientist at Versive was asked..., Fit a model to data
Data Scientist at MAANA was asked...," ML questions like regression, MLE, MAP"
Data Scientist at Amazon was asked..., Reasonable data science questions.
Data Scientist at Moz was asked...," Compute fibonacci numbers, find equilibrium point."
Data Scientist at Coupang was asked..., Linked list.
Data Scientist at Amazon was asked...," i. Tell me about the supervised machine learning techniques that you know about? ii. If you have a customer and want to decide whether they will “buy today” or “not buy today” and you know 1. where they live, 2. their income, 3. their gender, 4. their profession, how would you define a machine learning algorithm. iii. How does a neural network with one layer and one input and output compare to a logistic regression. iv. For a long sorted list and a short (4 element) sorted list, what algorithm would you use to search the long list for the 4 elements. v. How would the algorithm above scale. vi. Given an unfair coin with the probability of heads not equal to .5. What algorithm could you use to create a list of random 1s and 0s. "
Data Scientist at Liberty Mutual Insurance was asked..., How long have I used R...Some basic statistical problems
Data Scientist at Amazon was asked..., Why Amazon?
Senior Data Scientist at Avvo was asked...," Questions covered from SQL, text mining, to stats modeling. LOL believe it or not they staring this opening from January 2015 or maybe earlier, and currently they are still interviewing for this position! You may consider more before you decide to play this game."
Data Scientist at Microsoft was asked...," How to builds ads model, basic algorithms."
Data Scientist at Textio was asked..., How would your approach to the take-home machine learning problem change if model explainability was equally if not more important than prediction quality?
Data Scientist at Atlas Informatics was asked..., basic code exercise + design / algorithm exercise related to current technical challenges (quite vague)
Data Scientist at RootMetrics was asked..., How would I approach a problem if I was asked to use a technique I hadn't heard of before?
Data Scientist at Indeed was asked..., N/A
Senior Data Scientist at PayScale was asked...," Given activity logs from the product, what features would you build to predict churn?"
Senior Data Scientist at PayScale was asked..., Explain what is an ROC curve.
Data Scientist at Amazon was asked..., Basic questions related to time series modeling.
Data Scientist at Microsoft was asked..., The steps for data wrangling and cleaning before applying machine learning algorithms How to deal with unbalanced binary classification
Principal Data Scientist at Microsoft was asked..., Tell me about how you handled a conflict at work with another team member.
Principal Data Scientist at Microsoft was asked..., Describe the role to me.
Data Scientist at Microsoft was asked..., Why do you choose Microsoft?
Data Scientist at Nordstrom was asked..., How would you go about predicting categorical responses? 
Data Scientist at Microsoft was asked...," Experiment Design, A/B testing"
Senior Data Scientist at Zillow was asked...," Compute median absolute error and percent of estimates within 5%, 10% and 20% of the sales price."
Senior Data Scientist at PayScale was asked..., Explain what is target leakage.
Data Scientist at Microsoft was asked..., Definition of variance
Data Scientist at Microsoft was asked..., How to measure distance between data point?
Data Scientist at Microsoft was asked...," code this problem in Python, code this in C++ / C#, code this in R, code this in SQL, code this in Hadoop "
Data Scientist at Zillow was asked..., Describe an example of how you created a working predictive model. Be detailed.
Data Scientist at Amazon was asked..., How to do treat colinearity? How do you inspect missing data and when are they important? Similar questions in data analysis.
Data Scientist at Expedia Group was asked..., Nothing unexpected. I'd say the questions are easier that what I had in the bay area.
Data Scientist at Microsoft was asked..., Find the maximum of sub sequence in an integer list.
Data Scientist at Amazon was asked..., technical coding: navigating a binary tree phone interview: business questions
Data Scientist at Microsoft was asked..., How to perform a series of calculations without a calculator and your logic behind the steps.
Data Scientist I at Nordstrom was asked...," Why should we hire you? [Superficially this seems confrontational, but it's really more of a softball opportunity to sell yourself; and also frankly it's a good and fair question for a candidate.]"
Data Scientist II at Amazon was asked...," I signed an NDA, but be VERY comfortable with their leadership principles."
Data Scientist at Indeed was asked..., Sample k items uniformly at random in a streaming fashion from a list of unknown length.
Data Scientist at Indeed was asked...," How would you design a ML model for Zillow's Zestimate? (This was more of a conversation than a question, many subquestions working through different stages from data collection, feature selection, training, validating, implementing, and updating)"
Data Scientist at Indeed was asked..., Merge two sorted lists.
Data Scientist at Microsoft was asked..., Simple probability questions that dealt with bayesian equations
Data Scientist at Microsoft was asked...," Explain the bias variance tradeoff,"
Data Scientist at ProCogia was asked...," Easy normal data science questions, SQL syntax questions."
Data Scientist at Microsoft was asked...," What are the ROC curve and the meaning of sensitivity, specificity, confusion matrix"
Data Scientist at Groupon was asked..., Tell us about a recent project where you used machine learning techniques
Data Scientist at Amazon was asked...," We need to sign an NDA, this means the high level questioning above is it."
Data Scientist at Microsoft was asked..., Difference between box plot and histogram
Data Scientist at Amazon was asked...," SQL merges joins, how will you apply machine learning to a business case, explain the algorithm and why you chose it, how have you applied amazon's leadership principles to real life scenarios Compensation offered was ridiculously lower than what a decent company would offer for DS profiles. Interviewing was a waste of time. Needless to say I declined the offer."
Data Scientist at Microsoft was asked..., How do you detect if a new observation is outlier? What is bias-variance trade off ? 
Machine Learning Data Scientist at Amazon was asked...," what is the recenly project you have finished, which machine learning methods and approach you are using to achieve the goal"
Data Scientist at Uber was asked..., More on Resume/ projects and work experience if you have.
Senior Data Scientist at Microsoft was asked..., Q: how would you deal with a categorical feature with high cardinality? Q: describe a machine learning project you're proud of Q: pick a machine learning algorithm of your choice and describe it to me
Data Scientist at Philips was asked...," What is precision/recall ratio, what is SVM, What's your previous experience of machine learning"
Data Scientist at Yammer was asked...," You are compiling a report for user content uploaded every month and notice a spike in uploads in October. In particular, a spike in picture uploads. What might you think is the cause of this, and how would you test it?"
Senior Data Scientist at Glassdoor was asked...," How would you test if survey responses were filled at random by certain individuals, as opposed to truthful selections?"
Data Scientist at Facebook was asked...," You're about to get on a plane to Seattle. You want to know if you should bring an umbrella. You call 3 random friends of yours who live there and ask each independently if it's raining. Each of your friends has a 2/3 chance of telling you the truth and a 1/3 chance of messing with you by lying. All 3 friends tell you that ""Yes"" it is raining. What is the probability that it's actually raining in Seattle?"
Data Scientist at Facebook was asked..., Write a function that takes in two sorted lists and outputs a sorted list that is their union.
Data Scientist at Square was asked..., How do you test whether a new credit risk scoring model works? What data would you look at?
Data Scientist at Counsyl was asked..., When is a good day for you to start that coding challenge?
"Data Scientist, Analytics at Facebook was asked...", What teams are you interested in at Facebook?
Senior Data Scientist at Entelo was asked...," I was given a Data set which had id, position_id and resume_title. I had some junk data , which needs to cleaned up and they expect you to do it onsite while two people watch you doing it. Felt like a ridiculous interview ( people watching you ) what you type , if you google for a command or not. I felt that they are not smart people thats why their interview process is like that. I wouldn't work there ever. "
Data Scientist at BloomReach was asked...," How do you find out trending queries/topics? How do you test a website feature i.e. given a set of webpages and few changes, how will you find out that the change works positively?"
Data Scientist at Ancestry was asked..., Coding round: Java String manipulation. DM/ML questions: a few about ensemble methods. A few about various classifiers and my knowledge about how and where to use various techniques 3rd coding: Solving a maze. Finding shortest path.
Data Scientist at Guavus was asked..., Big data related question. Hadoop system. Top K record selection. External merge sort. Very basic JAVA questions: anonymous class. Implement some function. 
Data Scientist at HERE Technologies was asked..., Give an hour long presentation on something you've done.
Data Scientist at Square was asked...," (The interview drew a hypothetical histogram of number of purchases per user.) There are a lot of users that make a small number of purchases, and few users that make a large number of purchases. So the histogram is peaked near zero and has a tail off to the left. Based on this, what do you expect the plot of average revenue per user to look like?"
Data Scientist at Lyft was asked..., As a part of a bigger question: &#034;How do you draw a uniform random sample from a circle in polar coordinates?&#034;
Senior Data Scientist at Natera was asked...," Imagine you have N pieces of rope in a bucket. You reach in and grab one end-piece, then reach in and grab another end-piece, and tie those two together. What is the expected value of the number of loops in the bucket?"
Data Scientist at Uber was asked..., What are the assumptions of linear regression?
Data Scientist at Uber was asked..., What is stationary signal?
Data Scientist at Yelp was asked..., Mid-level coding/algorithm questions; ask you to explain the projects you've worked on.
Data Scientist at Demandforce was asked..., How do you approach a project?
Data Scientist at Indeed was asked..., Fill out a survey. This was sent after telling me that they would not go through with application because they had high volume of high quality applicants. 
Data Scientist at Counsyl was asked..., What is it about this position that interests you?
Data Scientist at Facebook was asked..., What is probability of getting one pair of card from 52 deck of cards? How would you improve work hours?
Data Scientist at Uber was asked..., Tell me about a past data science project that you've worked on.
Data Scientist at Facebook was asked...," Conditional probability problem(choosing doors with people inside), definition of confidence interval and statistical significance."
Data Scientist at Facebook was asked...," 3 SQL questions based on dummy data on Ads. How will you write a query to calculate ROI, then per source etc. Simple group by and subqueries. Just need to keep in mind your join conditions."
Data Scientist at Mapbox was asked...," Open-ended questions, Exploratory analysis and Inferential analysis with ML modeling."
Data Scientist at Slack was asked..., How would you prioritize which country to expand Slack to for furthering the International effort?
Data Scientist at Facebook was asked..., How will you analyze if launching stories is a good idea? What data would you look at?
Infrastructure Data Scientist at Facebook was asked..., Table joins - basically the only thing they care about here
Data Scientist at Facebook was asked..., Difference between FB and Twitter graphs. How will you define a metric that measures skewness of the network.
Infrastructure Data Scientist at Facebook was asked..., Use python built in package to manipulate csv data
Data Scientist at Uber was asked...," The interviews, as I recall: (1) Someone from finance department, covering collaboration w/ members outside of the core group. (2) Hiring manager asked questions around behavioral and problem solving approach; critical thinking; fit for team and group. (3) Product manager asked questions on product intuition and product impact. Being able to connect the problems you’re solving back to the business. Are you able to communicate with a non-technical audience. Some questions about metrics. (4) Coding -- one data manipulation question using Python or R. Could have used SQL to answer it as well. One algorithm/data structure question which honestly isn't really relevant to what someone w/ a statistical modeling background does, but seems to be included these days nonetheless. (5) Data science interview -- met with data scientist team leader who asked questions regarding how to define a given data science problem, what kind of metrics to use, models you'd consider using to answer such questions, etc. Some of the questions were experimental in nature, others were more machine-learning-esque. Of the latter category, would have been beneficial to at least be aware of online learning techniques and perhaps some time series models given the temporal nature of the data. (6) Interview with person not on the same team as the group I interviewed with. This person was supposed to ask me to explain my research and projects and experience according to the recruiter, but wound up just asking me questions about their own work, unexpectedly."
Data Scientist at Pocket Gems was asked...," explain P-value, Overfitting, AB test. "
Data Scientist at Funding Circle was asked...," The manager asked me about my previous experience in data modeling. But it seems he also confused himself by some basic statistical concepts. I wanted to leave 30 mins into the interview. The senior analyst asked me about my experience in statistics, SQL, and what kind of environment I like or dislike. I gave her a quick example of a model I built, and she asked me how I handled imbalance. I was thinking and structuring my thoughts, but then she said we were running out of time and jump into SQL : ( She actually asked the most difficult questions. She also seems to be overwork, tired and unhappy. The partner team's manger focus on team collaboration. "
Data Scientist at Facebook was asked...," They need a candidate who has a strong technical background with business analysis experience. Some questions were like how you determine a product success, scenarios that involve you to code/query using SQL/R/Python and analyze data sets"
Data Scientist at Opendoor was asked..., Code the Game of Life
Data Scientist at Twitter was asked..., Why do you want to work in Twitter?
Data Scientist at Facebook was asked...," Due to the NDA I had to sign, I will not mention key things. I was asked questions that tested my knowledge about SQL, business sense, and probability/math."
Data Scientist at C3 was asked...," Machine learning questions about Random Forests, Gradient Tree Boosting and ROC curves. Also more general questions around background, experience and motivation. "
Data Scientist/Engineer at Pillow was asked..., SQL code
Senior Data Scientist at Vungle was asked...," Interview covered some basic ML concepts, case study and SQL. How would you handle missing values, categorial of many levels, and some advertising case study with follow up questions .."
Data Scientist at StubHub was asked..., What is a statistical method to control the number of features for large sparse matrices?
Data Scientist at Second Measure was asked...," You look at your results, and see this: [insert whiteboarded plot]. What might be causing this? How would you confirm/deny your hypothesis?"
Data Scientist at Box was asked..., How to sort a list? How to penalise seasonality and periods in a model?
Data Scientist at Fitbit was asked...," There were a lot of brainstorming questions. From the brainstorming questions several more in-depth, technical questions were derived. One of the on-site interviews involves white board coding."
Data Scientist at Lyft was asked..., What are the different factors that could influence a rise in average wait time of a driver.
Data Scientist at Uber was asked...," How would you decide what version of Uber to use depending on the device and network? Given a random Bernoulli trial generator, write a function to return a value sampled from a normal distribution. What metrics are used in the matching algorithm between riders and drivers? What would you improve with the Uber app? "
Data Scientist at Asana was asked..., what is a linear regression
Data Scientist at LinkedIn was asked...," Given a random generator that produces a number 1 to 5 uniformly, write a function that produces a number from 1 to 7 uniformly or something like that."
Data Scientist at Uber was asked...," Product based questions and how I use Machine learning to solve their business problems A/B testing questions MIP formulation question Decision Trees and Traditional ML algorithm questions High level metrics, Driver oriented metrics, Shipper side Metrics Experimentation questions"
Data Scientist at 6sense was asked...," Takehome exam with very messy data that had very high cardinality. Even the hold out set may have categories that your train set has not seen yet. A lot of observation of the data is necessary. After that, you go on site and get 3 software coding interviews. Pretty heavy duty coding questions. E.g. find all possible ways to evaluate the multiplication of 4 numbers in a N by N matrix. Also, map reduce and deep recursion problem."
Data Scientist at HERE Technologies was asked..., How to identify the missing values in a data set?
Data Scientist at HERE Technologies was asked..., Where to use Median OR Mean?
Data Scientist at Affirm was asked...," General questions related to variable selection, overfitting, insights, past experience, machine learning, data etc."
Data Scientist at Twitter was asked..., Find the median of a large dataset
Senior Data Scientist at Glassdoor was asked..., Resume and earlier projects' related questions
Senior Data Scientist at Glassdoor was asked...," Questions around - Product intuition, Basic stats and model evaluation metrics, Probability and puzzles"
Data Scientist at Applied Underwriters was asked..., Five things you look for in a company
Senior Data Scientist at The League was asked..., If you were made the first data scientist at United Airlines where would you start?
Data Scientist at Uber was asked..., Why Uber?
Senior Data Scientist at Uber was asked..., Time series. Design of Experiments.
Data Scientist at Facebook was asked...," There was a question about defining some engagement metric, and then a SQL question."
Data Scientist at Formation was asked..., Where does the randomness come from for a random forest algorithm.
Data Scientist at HERE Technologies was asked..., How to identify missing values in a data set?
Data Scientist at HERE Technologies was asked..., Where to use Median? Mean?
Data Scientist at Komodo Health was asked..., What is your favorite algorithm?
Data Scientist at Banjo was asked..., Tradeoffs between CNNs and RNNs in the context of sequence modeling.
Data Scientist at GitHub was asked...," Asked lots of questions about past work experience and habits, culture, goals, collaboration. Questions around product, metrics, A/B Testing, communicating results to non-technical coworkers. Also a couple of SQL questions."
Data Scientist at Asana was asked...," The data challenge is pretty standard, give you a data set and let you build a predictive model and put together some insights. Phone and onsite interviews are all technical interviews. Some statistics (sampling, hypothesis testing, power calculation, etc.), some product sense (whether to launch some features, why some metric changed, etc.), also a CS-like question. "
Data Scientist at Uber was asked...," Describe dynamic (""surge"") pricing & ways you can measure supply & demand."
Data Scientist at Airbnb was asked..., Homework was an end-to-end product question. Pretty typical supply/demand balancing for a PaaS company with a lot of data columns to do various segmentations on. Needed to provide a presentation for a non-technical audience and then a technical appendix for the data crowd to build on top of your work.
Data Scientist at Granular was asked...," Major emphasis on building very simple models quickly. Nearest neighbors, linear regression, some basic SQL-type queries."
Data Scientist at Yelp was asked...," questions around product/metrics, A/B Testing, stats, ML"
Senior Data Scientist at Twitter was asked...," Typical for more engineering focused Data Science. Lots of coding problems, a few ML and stats theory, a few applied ML questions, and some information retrieval and search questions. "
Data Scientist at Indeed was asked..., Some Algorithmic questions followed by stats question. No SQL 
Data Scientist at Lime was asked..., Difference between a Z test and a T test What is P-value Type -1 and 2 errors Product oriented questions SQL exercises coding questions
Data Scientist at Affirm was asked..., Validate a model with given constraints (see above).
Data Scientist at C3 was asked...," Questions on coding algorithms, machine learning and past experience with projects and internships"
Data Scientist at Instacart was asked..., How might you have optimized parameters for this model differently?
Data Scientist at Yelp was asked..., What features would you use to predict the number of likes on a review?
Economist/Data Scientist at Glassdoor was asked...," How can Glassdoor use economic research to be more competitive, and to make more of an impact on job match?"
Data Scientist at Datatron was asked...," How would you develop a model to predict ticket pricing? What features would you use? How do you deal with missing data, bad data, too much data etc. "
Senior Data Scientist at Womply was asked..., How would you build a system to rank the potential of a large group of sales contacts?
Junior Data Scientist at Dignity Health was asked..., How do you handle multiple missing data items?
Data Scientist at Stitch Fix was asked..., What is your workflow for tackling a problem?
Data Scientist at Kontagent was asked..., The technical problem solving. Extract data from SQL database and attempt to find differences between fraudulent and non-fraudulent internet purchases (unsupervised). 
Data Scientist at Uber was asked...," coding/algorithm (leetcode medium level), statistics and probability, machine learning, deep learning, design of experiments, product knowledge, behavior questions"
Data Scientist at Facebook was asked..., Common statistical and python related questions. 1) How do you proof that males are on average taller than females by knowing just gender or height. 2) What is a monkey patch 3) How do you get the count of each letter in a sentence
Data Scientist at IBM was asked..., What do you know about Tensorflow?
Data Scientist at Affirm was asked...," What are l_1 and l_2 regularization, and how are they different?"
Data Scientist at Facebook was asked..., how do you solve business questions?
Data Scientist at PhantasmaTech was asked..., How would you define and measure the predictive power of a metric?
Data Scientist at Glassdoor was asked..., What are the advantages/disadvantages of different metrics for evaluating search results? (Metrics were provided and defined)
Data Scientist at Yelp was asked...," If you had to propose a new Yelp feature, what would it be?"
Data Scientist at Granular was asked..., An emphasis on rapid analysis and model development.
"Data Scientist, Product Analytics at Facebook was asked..."," You're at a casino with two dice, if you roll a 5 you win, and get paid $10. What is your expected payout? If you play until you win (however long that takes) then stop, what is your expected payout?"
"Data Scientist at Quora, Inc. was asked...", Write a function to return the best split for a decision tree regressor using the L2 loss. 
"Data Scientist at Quora, Inc. was asked...", Write a function to return the best split for a decision tree regressor using the L2 loss. 
Data Scientist at Euclid was asked..., Tell me a project you've done in data science and walk me through the process. 
Data Scientist at Uber was asked..., Cant reveal the question. I can only say that they ask candidates to make incorrect assumptions about data.
Data Scientist at Workday was asked...," Both of them are from Leetcode, which are (I think) pretty difficult to Data Scientist position, especially for the machine learning and statistical modeling background."
Data Scientist at Origami Logic was asked...," Coding, Stats / Proba, Machine Learning, Product. "
Senior Data Scientist at Salesforce was asked..., Explain specific Machine Learning algo/technique for non-technical people.
Data Scientist at Roche was asked..., Resume related Questions
Data Scientist at Roche was asked..., why Roche? Greatest achievement
Data Scientist at Audi was asked..., Why did you use random forest and not a simpler classifier for one of the classification problems?
Data Scientist at C3 was asked..., - What is machine learning? - Graph and matrix operation. - Linear regression theory and derivation.
Data Scientist at Uber was asked..., How would you measure the performance of [some Uber business]? Modelling and optimization problems Advanced statistics
Data Scientist at Opendoor was asked..., Anagram problem.
Data Scientist at Eventbrite was asked..., How would you lay out a dashboard for event organizers
Data Scientist at A9.com was asked...," How do you model, a very low probability event"
Data Scientist at Dropbox was asked..., how would i go about up selling to a customer.
Data Scientist at Airbnb was asked..., - Metrics creation - Metrics diagnostics - A/B testing - Tons of behavioral questions
Data Scientist at Samba TV was asked...," Stats, ML, probability. Data Challenge. coderpad coding challenge"
Data Scientist at Facebook was asked...," Nothing unexpected, mostly because they will tell you in detail what to expect in each interview. Coding on a collaborative text editor while doing a phone interview was new to me. I had a lot of typos, and syntax errors the first time I tried it. I'd recommend doing a practice run with a friend just so one gets used to the set up. "
Data Scientist at Uber was asked...," - talk about a recent project that was particularly challenging and why - metrics to evaluation surge pricing algorithm - how to test whether version 1 or 2 of surge pricing algorithm is working better (divide drivers - how would you explain power to a product manager (non-stats) - basic modeling questions: cross-validation, training / test data, error metrics"
Data Scientist at AltSchool was asked..., Talk about a data analysis project
Data Scientist (Consultant) at Kforce was asked..., What my ideal job is
Data Scientist at GREE International Entertainment was asked..., There is no very difficult question. Mostly general technical questions and mostly open discussion with no unique right answer.
Data Scientist at C3 was asked...," Machine learning concepts, resume projects etc."
Data Scientist at Zenefits was asked...," Background, a recent project"
Associate Data Scientist at Eventbrite was asked..., They asked how I think through difficult problems by giving examples.
Data Scientist at Thumbtack was asked..., What goes into the calculation of test duration?
Data Scientist at Formation was asked..., I'm not going to say because the most difficult question was also the most fun to figure out.
Data Scientist at Uber was asked...," there were 3 part, SQL which was very difficult for entry level.one part with R or Python programming, and Analysis"
"Data Scientist, Analytics at Facebook was asked..."," How can we tell if two users on Instagram are best friends? (answer question) Ok, how can we use this algorithm in the product?"
Data Scientist at Galvanize was asked..., They asked if I could create an anagram checker using python within 30 minutes
Data Scientist at Genentech was asked..., Basic SQL query and split a word into basic components for a function.
Data Scientist at Yelp was asked..., Whats the difference between decision trees and extreme boosted trees mathematically? 
Senior Data Scientist at Formation was asked..., How did you put your code into production?
Data Scientist at Lyft was asked..., Multiple graph optimization q's
Senior Data Analyst/Data Scientist – Retail Advertising Analytics and Innovation Team at eBay was asked..., What is the total length of all the roads in San Francisco?
Data Scientist at Cisco Systems was asked..., cloning a graph
Data Scientist at Windfall was asked..., Be prepared to wow them with stories on how you pushed models to production with large data. The job mainly is to really take your time with BigQuery for EDA and data quality checks since data is their product.
Senior Data Scientist at LinkedIn was asked...," They are really reasonable about questions. Just explain clearly what you have done before, the questions that they have a open ended discussions. If you can talk on a subject matter and give a few angles on a problem that is all they are looking for. "
Data Scientist at KeepTruckin was asked..., How would you use dash-cam to evaluate accident risk ?
Data Scientist at AutoGrid was asked..., Most questions were from the problems they work on. Some ML questions
Data Scientist at New Relic was asked...," They give you enough info on what to expect during your interview, so I wasn't really surprised with anything."
Data Scientist at Houzz was asked..., How would you set up an A/B test?
Junior Data Scientist at Automatic was asked...," If the coefficient of an independent variable in linear regression has an opposite sign than it should be, what might be the reason"
Data Scientist at Uber was asked..., Write a production code to find all combinations of numbers in a list that sum up to 8. 
Data Scientist at Facebook was asked..., How would you measure the success of a new feature?
Data Scientist at Uber was asked..., Write a production code to reverse a number. 
Data Scientist at Uber was asked...," If you were rolling out Uber ride passes for the first time, how would you set the prices?"
Data Scientist at Airbnb was asked...," An important metric goes down, how would you dig into the causes?"
Data Scientist at C3 was asked...," code kmeans from scratch, code knn from scratch"
Data Scientist at Instacart was asked..., Estimate the demand and supply
Data Scientist at Airbnb was asked..., Why do you think we implemented this feature? 
Data Scientist at Tubi was asked..., machine learning
Data Scientist at Asana was asked...," I'm not going to answer this in specific. Be prepared to answer lots of experimental design questions. How you would direct new features, test changes to a product, what types of data to collect, etc."
Data Scientist at Roivant Sciences was asked..., Describe a commercially relevant problem you have worked on.
Data Scientist at Facebook was asked...," Building a histogram of post reply count in SQL (number of posts with x replies, x+1 replies, etc). Building a table with a summary of feature usage per user every day (keep track of the last action by user and roll that up every day). Basic conditional probabilities (check out brilliant.org for their source of inspiration)"
Data Scientist at Uber was asked..., There were many questions during the interview. Here is a brief summary of type of questions. How do you find an anomaly in a distribution? How do you investigate that a certain trend in a distribution is due to anomaly? How do you test a particular product? Pick your favorite product or app and describe how you would improve it or design it? How do you estimate of an impact that Uber has on driving conditions and congestion? Most questions were open-ended. 
Data Scientist at Roivant Sciences was asked..., What problem are you currently working on with programming?
Data Scientist at Symantec was asked..., Take home predictive modeling assignment on lending data. 
Statistically Significant Data Scientist at LiveRamp was asked..., There were a few questions about encoding/decoding of various types of data.
Data Scientist at Airbnb was asked..., How would you impute missing information? 
Data Scientist - Product Analytics at Facebook was asked..., SQL; Approaches to solve business questions 
Data Scientist at Airbnb was asked..., What do you like about our product?
Data Scientist at E8 Security was asked..., What is the hardest problem in security?
Data Scientist at C3 was asked..., ask about how to tune the hyperparameters and feature engineering
Data Scientist at C3 was asked..., How do you train a decision tree? 
Data Scientist at C3 was asked..., How are Scipy sparse matrices implemented 
Data Scientist at 6sense was asked...," You're given a data set and asked to do classification, regression, etc.. I can't describe more than that as I used part of 6Sense's data and, based on that, I signed an NDA. "
Data Scientist at Facebook was asked..., Simple SQL questions. AB Testing. 
Facebook Data Scientist at McKinsey & Company was asked..., SQL questions+product questions
Data Scientist at Butter AI was asked..., Some irrelevant-for-work-question that doesn't check anything related to what you're going to do.
Data Scientist at Instacart was asked...," 1. We are observing this trend, what are possible explanations for why? 2. Behavioral (talk about a time when...) 3. SQL. Did not have live coding, only in the initial problem and take home portion "
Data Scientist at Facebook was asked...," How do you calculate monthly active users, churned users and resurrected users from a user activity log with userID and DateTime"
Data Scientist at Uber was asked..., Explain how network effects might influence your choice of how to assign experimental/control units and measure your main outcome metrics
Senior Data Scientist at hibooks was asked..., What data is needed to build a recommendation system 
Data Scientist at Second Measure was asked...," Have you ever had an issues with a colleague? If so, how did you handle it and what happened?"
Data Scientist at Uber was asked..., SQL & data structure 
Data Scientist at Second Measure was asked..., All questions were related to the data they work with day to day
Data Scientist at Uber was asked...," SQL operations, optimization of pickup time, how to evaluate the success of a new feature "
Data Scientist at Credit Karma was asked..., describe a ML model
Data Scientist at Uber was asked...," The challenge had 3 parts: SQL, Experiment Design, and Machine Learning. In the SQL portion you had to write some queries to answer complicated real world questions (without any data given, just a schema). In the experiment design portion you are asked to create a hypothetical plan to answer testing a new app. In the Data Science portion, you are asked to perform binary classification on a given data set, and return insights from the classification."
Data Scientist at Airbnb was asked..., All questions are directly related to the presentation. What does the gap represent in your graph?
Data Scientist at Uber was asked..., When did you graduate college?
Data Scientist at Uber was asked..., How many years have you been working?
Data Scientist at Skillz was asked...," Given four people's name, rank, number of games, and win-ratio design an 2-player matching algorithm that optimizes based on fairness."
Data Scientist at Uber was asked..., Write out a function to calculate the AUC of an ROC curve. 
